/mnt/nas05/clusterdata01/home2/f.barbisch/rle-assginment/.venv/lib/python3.12/site-packages/tyro/_parsers.py:344: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
A.L.E: Arcade Learning Environment (version 0.10.1+unknown)
[Powered by Stella]
eval_episode=0, episodic_return=[205.], episodic_length=[678], episodic_time=[0.317721]
eval_episode=1, episodic_return=[195.], episodic_length=[623], episodic_time=[0.289916]
eval_episode=2, episodic_return=[50.], episodic_length=[293], episodic_time=[0.11541]
eval_episode=3, episodic_return=[490.], episodic_length=[888], episodic_time=[0.344443]
eval_episode=4, episodic_return=[15.], episodic_length=[320], episodic_time=[0.124917]
eval_episode=5, episodic_return=[130.], episodic_length=[564], episodic_time=[0.223837]
eval_episode=6, episodic_return=[120.], episodic_length=[471], episodic_time=[0.185551]
eval_episode=7, episodic_return=[150.], episodic_length=[489], episodic_time=[0.191856]
eval_episode=8, episodic_return=[165.], episodic_length=[526], episodic_time=[0.242015]
eval_episode=9, episodic_return=[85.], episodic_length=[487], episodic_time=[0.194506]
eval_episode=10, episodic_return=[25.], episodic_length=[333], episodic_time=[0.129983]
eval_episode=11, episodic_return=[130.], episodic_length=[391], episodic_time=[0.154382]
eval_episode=12, episodic_return=[190.], episodic_length=[668], episodic_time=[0.265008]
eval_episode=13, episodic_return=[70.], episodic_length=[286], episodic_time=[0.11269]
eval_episode=14, episodic_return=[80.], episodic_length=[296], episodic_time=[0.116992]
eval_episode=15, episodic_return=[125.], episodic_length=[386], episodic_time=[0.152377]
eval_episode=16, episodic_return=[35.], episodic_length=[342], episodic_time=[0.137168]
eval_episode=17, episodic_return=[60.], episodic_length=[340], episodic_time=[0.134445]
eval_episode=18, episodic_return=[60.], episodic_length=[391], episodic_time=[0.154049]
eval_episode=19, episodic_return=[20.], episodic_length=[474], episodic_time=[0.190806]
eval_episode=20, episodic_return=[25.], episodic_length=[363], episodic_time=[0.142627]
eval_episode=21, episodic_return=[15.], episodic_length=[429], episodic_time=[0.174997]
eval_episode=22, episodic_return=[125.], episodic_length=[582], episodic_time=[0.234209]
eval_episode=23, episodic_return=[210.], episodic_length=[939], episodic_time=[0.373765]
eval_episode=24, episodic_return=[65.], episodic_length=[552], episodic_time=[0.224362]
eval_episode=25, episodic_return=[55.], episodic_length=[467], episodic_time=[0.188309]
eval_episode=26, episodic_return=[240.], episodic_length=[767], episodic_time=[0.309254]
eval_episode=27, episodic_return=[40.], episodic_length=[305], episodic_time=[0.131903]
eval_episode=28, episodic_return=[50.], episodic_length=[290], episodic_time=[0.113539]
eval_episode=29, episodic_return=[345.], episodic_length=[707], episodic_time=[0.282563]
eval_episode=30, episodic_return=[135.], episodic_length=[491], episodic_time=[0.195827]
eval_episode=31, episodic_return=[35.], episodic_length=[268], episodic_time=[0.103447]
eval_episode=32, episodic_return=[125.], episodic_length=[477], episodic_time=[0.191134]
eval_episode=33, episodic_return=[55.], episodic_length=[364], episodic_time=[0.143895]
eval_episode=34, episodic_return=[30.], episodic_length=[274], episodic_time=[0.106636]
eval_episode=35, episodic_return=[140.], episodic_length=[469], episodic_time=[0.187785]
eval_episode=36, episodic_return=[150.], episodic_length=[598], episodic_time=[0.239038]
