eval_episode=0, episodic_return=[140.], episodic_length=[475], episodic_time=[0.219684]
eval_episode=1, episodic_return=[125.], episodic_length=[694], episodic_time=[0.328546]
eval_episode=2, episodic_return=[155.], episodic_length=[528], episodic_time=[0.210925]
eval_episode=3, episodic_return=[160.], episodic_length=[615], episodic_time=[0.244937]
eval_episode=4, episodic_return=[55.], episodic_length=[482], episodic_time=[0.194409]
eval_episode=5, episodic_return=[230.], episodic_length=[754], episodic_time=[0.297969]
eval_episode=6, episodic_return=[80.], episodic_length=[323], episodic_time=[0.127178]
eval_episode=7, episodic_return=[55.], episodic_length=[408], episodic_time=[0.161906]
eval_episode=8, episodic_return=[420.], episodic_length=[903], episodic_time=[0.411832]
eval_episode=9, episodic_return=[45.], episodic_length=[408], episodic_time=[0.161751]
eval_episode=10, episodic_return=[265.], episodic_length=[788], episodic_time=[0.31091]
eval_episode=11, episodic_return=[50.], episodic_length=[392], episodic_time=[0.154944]
eval_episode=12, episodic_return=[50.], episodic_length=[419], episodic_time=[0.165675]
eval_episode=13, episodic_return=[140.], episodic_length=[530], episodic_time=[0.210941]
eval_episode=14, episodic_return=[105.], episodic_length=[461], episodic_time=[0.184493]
eval_episode=15, episodic_return=[140.], episodic_length=[528], episodic_time=[0.211793]
eval_episode=16, episodic_return=[290.], episodic_length=[687], episodic_time=[0.274822]
eval_episode=17, episodic_return=[180.], episodic_length=[460], episodic_time=[0.183128]
eval_episode=18, episodic_return=[30.], episodic_length=[472], episodic_time=[0.189117]
eval_episode=19, episodic_return=[95.], episodic_length=[474], episodic_time=[0.190216]
eval_episode=20, episodic_return=[50.], episodic_length=[427], episodic_time=[0.171166]
eval_episode=21, episodic_return=[430.], episodic_length=[853], episodic_time=[0.340631]
eval_episode=22, episodic_return=[45.], episodic_length=[380], episodic_time=[0.150247]
eval_episode=23, episodic_return=[455.], episodic_length=[987], episodic_time=[0.38046]
eval_episode=24, episodic_return=[185.], episodic_length=[732], episodic_time=[0.288972]
eval_episode=25, episodic_return=[350.], episodic_length=[522], episodic_time=[0.208348]
eval_episode=26, episodic_return=[185.], episodic_length=[670], episodic_time=[0.266847]
eval_episode=27, episodic_return=[190.], episodic_length=[709], episodic_time=[0.306013]
eval_episode=28, episodic_return=[130.], episodic_length=[280], episodic_time=[0.108577]
eval_episode=29, episodic_return=[65.], episodic_length=[387], episodic_time=[0.154533]
eval_episode=30, episodic_return=[95.], episodic_length=[436], episodic_time=[0.174801]
eval_episode=31, episodic_return=[475.], episodic_length=[763], episodic_time=[0.303086]
eval_episode=32, episodic_return=[35.], episodic_length=[390], episodic_time=[0.155399]
eval_episode=33, episodic_return=[110.], episodic_length=[488], episodic_time=[0.195509]
eval_episode=34, episodic_return=[215.], episodic_length=[672], episodic_time=[0.271989]
eval_episode=35, episodic_return=[225.], episodic_length=[734], episodic_time=[0.293146]
eval_episode=36, episodic_return=[50.], episodic_length=[373], episodic_time=[0.150053]
eval_episode=37, episodic_return=[195.], episodic_length=[535], episodic_time=[0.215894]
eval_episode=38, episodic_return=[55.], episodic_length=[263], episodic_time=[0.102167]
eval_episode=39, episodic_return=[135.], episodic_length=[685], episodic_time=[0.274511]
eval_episode=40, episodic_return=[25.], episodic_length=[375], episodic_time=[0.149655]
eval_episode=41, episodic_return=[105.], episodic_length=[324], episodic_time=[0.128303]
eval_episode=42, episodic_return=[35.], episodic_length=[261], episodic_time=[0.102166]
eval_episode=43, episodic_return=[55.], episodic_length=[446], episodic_time=[0.177047]
