/mnt/nas05/clusterdata01/home2/f.barbisch/rle-assginment/.venv/lib/python3.12/site-packages/tyro/_parsers.py:344: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
A.L.E: Arcade Learning Environment (version 0.10.1+unknown)
[Powered by Stella]
eval_episode=75, episodic_return=[90.], episodic_length=[505], episodic_time=[0.20674]
eval_episode=76, episodic_return=[45.], episodic_length=[290], episodic_time=[0.1162]
eval_episode=77, episodic_return=[100.], episodic_length=[559], episodic_time=[0.227548]
eval_episode=78, episodic_return=[95.], episodic_length=[431], episodic_time=[0.174845]
eval_episode=79, episodic_return=[285.], episodic_length=[595], episodic_time=[0.240847]
eval_episode=80, episodic_return=[320.], episodic_length=[726], episodic_time=[0.292287]
eval_episode=81, episodic_return=[35.], episodic_length=[336], episodic_time=[0.135755]
eval_episode=82, episodic_return=[90.], episodic_length=[478], episodic_time=[0.194152]
eval_episode=83, episodic_return=[190.], episodic_length=[717], episodic_time=[0.29151]
eval_episode=84, episodic_return=[195.], episodic_length=[719], episodic_time=[0.294196]
eval_episode=85, episodic_return=[15.], episodic_length=[409], episodic_time=[0.165897]
eval_episode=86, episodic_return=[120.], episodic_length=[598], episodic_time=[0.243976]
eval_episode=87, episodic_return=[90.], episodic_length=[403], episodic_time=[0.162074]
eval_episode=88, episodic_return=[75.], episodic_length=[443], episodic_time=[0.181644]
eval_episode=89, episodic_return=[70.], episodic_length=[435], episodic_time=[0.177841]
eval_episode=90, episodic_return=[120.], episodic_length=[476], episodic_time=[0.192961]
eval_episode=91, episodic_return=[115.], episodic_length=[498], episodic_time=[0.203736]
eval_episode=92, episodic_return=[110.], episodic_length=[566], episodic_time=[0.226688]
eval_episode=93, episodic_return=[30.], episodic_length=[337], episodic_time=[0.13471]
eval_episode=94, episodic_return=[515.], episodic_length=[687], episodic_time=[0.2742]
eval_episode=95, episodic_return=[150.], episodic_length=[608], episodic_time=[0.24414]
eval_episode=96, episodic_return=[115.], episodic_length=[446], episodic_time=[0.177114]
eval_episode=97, episodic_return=[245.], episodic_length=[697], episodic_time=[0.277729]
eval_episode=98, episodic_return=[50.], episodic_length=[320], episodic_time=[0.12634]
eval_episode=99, episodic_return=[85.], episodic_length=[455], episodic_time=[0.179954]
