eval_episode=79, episodic_return=[25.], episodic_length=[262], episodic_time=[0.104077]
eval_episode=80, episodic_return=[80.], episodic_length=[320], episodic_time=[0.124472]
eval_episode=81, episodic_return=[185.], episodic_length=[705], episodic_time=[0.281157]
eval_episode=82, episodic_return=[115.], episodic_length=[487], episodic_time=[0.193999]
eval_episode=83, episodic_return=[75.], episodic_length=[623], episodic_time=[0.252552]
eval_episode=84, episodic_return=[10.], episodic_length=[401], episodic_time=[0.160869]
eval_episode=85, episodic_return=[50.], episodic_length=[314], episodic_time=[0.124476]
eval_episode=86, episodic_return=[140.], episodic_length=[428], episodic_time=[0.169447]
eval_episode=87, episodic_return=[235.], episodic_length=[624], episodic_time=[0.247509]
eval_episode=88, episodic_return=[110.], episodic_length=[497], episodic_time=[0.198488]
eval_episode=89, episodic_return=[20.], episodic_length=[337], episodic_time=[0.132411]
eval_episode=90, episodic_return=[105.], episodic_length=[490], episodic_time=[0.194525]
eval_episode=91, episodic_return=[505.], episodic_length=[672], episodic_time=[0.262995]
eval_episode=92, episodic_return=[65.], episodic_length=[311], episodic_time=[0.12441]
eval_episode=93, episodic_return=[65.], episodic_length=[455], episodic_time=[0.181747]
eval_episode=94, episodic_return=[110.], episodic_length=[382], episodic_time=[0.154213]
eval_episode=95, episodic_return=[55.], episodic_length=[479], episodic_time=[0.192996]
eval_episode=96, episodic_return=[60.], episodic_length=[370], episodic_time=[0.147063]
eval_episode=97, episodic_return=[265.], episodic_length=[797], episodic_time=[0.317136]
eval_episode=98, episodic_return=[85.], episodic_length=[277], episodic_time=[0.109204]
eval_episode=99, episodic_return=[105.], episodic_length=[499], episodic_time=[0.199602]
[1;34mwandb[0m: 🚀 View run [33mALE/SpaceInvaders-v5__random_baseline__1__20241222_220710[0m at: [34mhttps://wandb.ai/messis/cleanRL/runs/rjxz6s2j[0m
[1;34mwandb[0m: Find logs at: [1;35m../../../mnt/nas05/clusterdata01/home2/f.barbisch/rle-assginment/wandb/run-20241222_220717-rjxz6s2j/logs[0m
