/mnt/nas05/clusterdata01/home2/f.barbisch/rle-assginment/.venv/lib/python3.12/site-packages/tyro/_parsers.py:344: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
A.L.E: Arcade Learning Environment (version 0.10.1+unknown)
[Powered by Stella]
eval_episode=0, episodic_return=[125.], episodic_length=[485], episodic_time=[0.315092]
eval_episode=1, episodic_return=[65.], episodic_length=[388], episodic_time=[0.186018]
eval_episode=2, episodic_return=[315.], episodic_length=[760], episodic_time=[0.300645]
eval_episode=3, episodic_return=[55.], episodic_length=[473], episodic_time=[0.186506]
eval_episode=4, episodic_return=[80.], episodic_length=[483], episodic_time=[0.193725]
eval_episode=5, episodic_return=[95.], episodic_length=[478], episodic_time=[0.191782]
eval_episode=6, episodic_return=[50.], episodic_length=[426], episodic_time=[0.16811]
eval_episode=7, episodic_return=[145.], episodic_length=[499], episodic_time=[0.199855]
eval_episode=8, episodic_return=[60.], episodic_length=[357], episodic_time=[0.164928]
eval_episode=9, episodic_return=[165.], episodic_length=[581], episodic_time=[0.233968]
eval_episode=10, episodic_return=[485.], episodic_length=[985], episodic_time=[0.394567]
eval_episode=11, episodic_return=[50.], episodic_length=[280], episodic_time=[0.111754]
eval_episode=12, episodic_return=[25.], episodic_length=[393], episodic_time=[0.157115]
eval_episode=13, episodic_return=[155.], episodic_length=[487], episodic_time=[0.197323]
eval_episode=14, episodic_return=[55.], episodic_length=[276], episodic_time=[0.108492]
eval_episode=15, episodic_return=[145.], episodic_length=[550], episodic_time=[0.218238]
eval_episode=16, episodic_return=[485.], episodic_length=[1135], episodic_time=[0.4365]
eval_episode=17, episodic_return=[120.], episodic_length=[519], episodic_time=[0.207043]
eval_episode=18, episodic_return=[135.], episodic_length=[425], episodic_time=[0.167875]
eval_episode=19, episodic_return=[100.], episodic_length=[478], episodic_time=[0.190635]
eval_episode=20, episodic_return=[330.], episodic_length=[843], episodic_time=[0.334599]
eval_episode=21, episodic_return=[120.], episodic_length=[531], episodic_time=[0.213101]
eval_episode=22, episodic_return=[80.], episodic_length=[479], episodic_time=[0.190874]
eval_episode=23, episodic_return=[110.], episodic_length=[571], episodic_time=[0.229284]
eval_episode=24, episodic_return=[75.], episodic_length=[314], episodic_time=[0.123925]
eval_episode=25, episodic_return=[205.], episodic_length=[722], episodic_time=[0.288854]
eval_episode=26, episodic_return=[110.], episodic_length=[479], episodic_time=[0.19183]
eval_episode=27, episodic_return=[55.], episodic_length=[271], episodic_time=[0.115341]
eval_episode=28, episodic_return=[40.], episodic_length=[255], episodic_time=[0.101863]
eval_episode=29, episodic_return=[55.], episodic_length=[528], episodic_time=[0.214155]
eval_episode=30, episodic_return=[120.], episodic_length=[506], episodic_time=[0.201791]
eval_episode=31, episodic_return=[35.], episodic_length=[404], episodic_time=[0.16028]
eval_episode=32, episodic_return=[180.], episodic_length=[743], episodic_time=[0.300873]
eval_episode=33, episodic_return=[55.], episodic_length=[418], episodic_time=[0.169871]
eval_episode=34, episodic_return=[170.], episodic_length=[641], episodic_time=[0.258968]
eval_episode=35, episodic_return=[50.], episodic_length=[370], episodic_time=[0.150052]
eval_episode=36, episodic_return=[60.], episodic_length=[266], episodic_time=[0.104399]
eval_episode=37, episodic_return=[50.], episodic_length=[417], episodic_time=[0.168968]
eval_episode=38, episodic_return=[65.], episodic_length=[447], episodic_time=[0.179827]
eval_episode=39, episodic_return=[110.], episodic_length=[525], episodic_time=[0.211318]
eval_episode=40, episodic_return=[120.], episodic_length=[459], episodic_time=[0.184502]
eval_episode=41, episodic_return=[210.], episodic_length=[532], episodic_time=[0.213384]
eval_episode=42, episodic_return=[65.], episodic_length=[479], episodic_time=[0.195187]
eval_episode=43, episodic_return=[95.], episodic_length=[495], episodic_time=[0.201077]
eval_episode=44, episodic_return=[435.], episodic_length=[868], episodic_time=[0.350447]
eval_episode=45, episodic_return=[230.], episodic_length=[764], episodic_time=[0.308485]
eval_episode=46, episodic_return=[35.], episodic_length=[296], episodic_time=[0.120124]
eval_episode=47, episodic_return=[480.], episodic_length=[764], episodic_time=[0.304948]
eval_episode=48, episodic_return=[285.], episodic_length=[837], episodic_time=[0.337496]
eval_episode=49, episodic_return=[125.], episodic_length=[678], episodic_time=[0.275166]
eval_episode=50, episodic_return=[105.], episodic_length=[477], episodic_time=[0.193352]
eval_episode=51, episodic_return=[280.], episodic_length=[938], episodic_time=[0.375402]
eval_episode=52, episodic_return=[85.], episodic_length=[429], episodic_time=[0.173455]
eval_episode=53, episodic_return=[10.], episodic_length=[419], episodic_time=[0.171247]
eval_episode=54, episodic_return=[170.], episodic_length=[695], episodic_time=[0.281182]
eval_episode=55, episodic_return=[255.], episodic_length=[673], episodic_time=[0.267316]
eval_episode=56, episodic_return=[430.], episodic_length=[812], episodic_time=[0.323369]
eval_episode=57, episodic_return=[30.], episodic_length=[349], episodic_time=[0.14168]
eval_episode=58, episodic_return=[30.], episodic_length=[292], episodic_time=[0.118057]
eval_episode=59, episodic_return=[35.], episodic_length=[377], episodic_time=[0.151897]
eval_episode=60, episodic_return=[160.], episodic_length=[536], episodic_time=[0.214679]
eval_episode=61, episodic_return=[230.], episodic_length=[746], episodic_time=[0.30098]
eval_episode=62, episodic_return=[105.], episodic_length=[523], episodic_time=[0.212634]
eval_episode=63, episodic_return=[385.], episodic_length=[738], episodic_time=[0.29995]
eval_episode=64, episodic_return=[125.], episodic_length=[489], episodic_time=[0.220471]
eval_episode=65, episodic_return=[260.], episodic_length=[630], episodic_time=[0.25004]
eval_episode=66, episodic_return=[330.], episodic_length=[849], episodic_time=[0.340542]
eval_episode=67, episodic_return=[120.], episodic_length=[380], episodic_time=[0.152347]
eval_episode=68, episodic_return=[140.], episodic_length=[466], episodic_time=[0.186208]
eval_episode=69, episodic_return=[80.], episodic_length=[400], episodic_time=[0.161013]
eval_episode=70, episodic_return=[190.], episodic_length=[625], episodic_time=[0.250833]
eval_episode=71, episodic_return=[30.], episodic_length=[378], episodic_time=[0.150581]
eval_episode=72, episodic_return=[165.], episodic_length=[428], episodic_time=[0.170167]
eval_episode=73, episodic_return=[50.], episodic_length=[289], episodic_time=[0.114749]
eval_episode=74, episodic_return=[155.], episodic_length=[500], episodic_time=[0.199153]
eval_episode=75, episodic_return=[130.], episodic_length=[531], episodic_time=[0.213853]
eval_episode=76, episodic_return=[60.], episodic_length=[479], episodic_time=[0.192556]
eval_episode=77, episodic_return=[60.], episodic_length=[275], episodic_time=[0.109093]
eval_episode=78, episodic_return=[120.], episodic_length=[432], episodic_time=[0.17173]
eval_episode=79, episodic_return=[210.], episodic_length=[622], episodic_time=[0.246781]
eval_episode=80, episodic_return=[120.], episodic_length=[536], episodic_time=[0.215249]
eval_episode=81, episodic_return=[50.], episodic_length=[393], episodic_time=[0.156827]
eval_episode=82, episodic_return=[160.], episodic_length=[716], episodic_time=[0.28838]
eval_episode=83, episodic_return=[180.], episodic_length=[523], episodic_time=[0.208512]
eval_episode=84, episodic_return=[60.], episodic_length=[343], episodic_time=[0.135892]
eval_episode=85, episodic_return=[110.], episodic_length=[456], episodic_time=[0.181081]
eval_episode=86, episodic_return=[30.], episodic_length=[256], episodic_time=[0.09934]
eval_episode=87, episodic_return=[20.], episodic_length=[410], episodic_time=[0.165538]
eval_episode=88, episodic_return=[30.], episodic_length=[397], episodic_time=[0.160372]
eval_episode=89, episodic_return=[80.], episodic_length=[387], episodic_time=[0.156454]
eval_episode=90, episodic_return=[30.], episodic_length=[349], episodic_time=[0.138792]
eval_episode=91, episodic_return=[25.], episodic_length=[272], episodic_time=[0.107949]
eval_episode=92, episodic_return=[90.], episodic_length=[389], episodic_time=[0.156018]
eval_episode=93, episodic_return=[130.], episodic_length=[615], episodic_time=[0.250971]
eval_episode=94, episodic_return=[35.], episodic_length=[324], episodic_time=[0.130449]
eval_episode=95, episodic_return=[135.], episodic_length=[480], episodic_time=[0.193388]
eval_episode=96, episodic_return=[75.], episodic_length=[477], episodic_time=[0.192668]
eval_episode=97, episodic_return=[430.], episodic_length=[652], episodic_time=[0.265778]
eval_episode=98, episodic_return=[120.], episodic_length=[511], episodic_time=[0.206386]
eval_episode=99, episodic_return=[120.], episodic_length=[488], episodic_time=[0.196145]
